id,number,gender,nation,academy,profession,class,结项级别,结项等级,奖项或成果名称,组办单位,获奖类型,获奖时间
16,201721040127,女,汉族,法学院,法学,民商1702,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
17,1607030213,女,汉族,财政税务学院,税收学,税务1602,国家级结项,第一,大学生创新创业训练计划-创新训练项目,教育部,团体,2019-06-15
18,201721120223,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-05
19,201721090076,女,汉族,统计与数学学院,应用统计学,应统1701,院级结项,第三及以后,文澜学院-博文杯科研项目,文澜学院,团体,2019-03-20
20,201721060196,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-03-25
21,201721100260,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-04-26
22,1609020151,女,汉族,统计与数学学院,统计学,统计1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
23,1603010244,女,汉族,金融学院,金融学,金融1602,国家级结项,第一,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-05
24,201721140202,女,汉族,哲学院,社会学,社会1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
25,201721060240,男,汉族,工商管理学院,国际经济与贸易,国贸1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-03-07
26,1606030137,女,汉族,工商管理学院,管理科学,管科1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
27,1607030314,女,汉族,财政税务学院,税收学,税务1603,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
28,201721070137,男,汉族,财政税务学院,财政学,财政1702,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-05
29,201721030335,男,汉族,金融学院,投资学,投资1701,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
30,1607010201,女,汉族,财政税务学院,财政学,财政1602,国家级结项,第二,大学生创新创业训练计划-创新训练项目,教育部,团体,2019-06-15
31,1604001001,女,汉族,法学院,法学,法1610,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
32,201721080317,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-12-21
33,201721080316,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
34,1601010101,女,汉族,哲学院,哲学,哲学1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
35,201721040637,女,汉族,法学院,法学（卓越）,卓越1701,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-09
36,201721080252,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-06
37,201721090055,女,汉族,统计与数学学院,统计学,统计1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-03-28
38,201721090147,女,布依族,统计与数学学院,信息与计算科学,信科1701,院级结项,第二,其他（见附件）,其他（见附件）,团体,2019-05-01
39,201721130212,女,汉族,财政税务学院,财政学（中英班）,国财1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-09-20
40,1609110130,女,汉族,会计学院（会计硕士专业学位教育中心）,国际会计（中澳班）,国会1601,国家级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-01
41,201821130154,女,汉族,信息与安全工程学院,环境工程,环境1801,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-27
42,1608010227,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1602,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
43,201721030439,女,汉族,金融学院,房地产开发与管理,房产1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
44,201821070170,男,汉族,财政税务学院,财政学类,财政1804,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-09-09
45,1608030407,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
46,201721070022,女,汉族,财政税务学院,财政学,财政1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
47,1606060120,女,汉族,工商管理学院,人力资源管理,人力1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-22
48,201721040493,男,汉族,法学院,法学,法1706,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-15
49,1609010143,女,汉族,财政税务学院,财政学,财政1603,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,个体,2019-06-20
50,1608020233,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1602,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
51,1612040116,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-20
52,201821030297,女,汉族,金融学院,管理科学与工程类,管工1802,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
53,201721040457,男,汉族,法学院,法学,民商1701,院级结项,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-08
54,201721130204,男,汉族,信息与安全工程学院,安全工程,安全1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-03-12
55,1607010126,男,汉族,财政税务学院,财政学,财政1601,国家级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2019-09-01
56,1603010244,女,汉族,金融学院,金融学,金融1602,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
57,201721050149,男,汉族,刑事司法学院,治安学,治安1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
58,1604080112,女,汉族,法学院,法学（卓越）,卓越1601,国家级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-01
59,1604000806,女,汉族,法学院,法学,法1608,国家级结项,第二,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-06
60,1609100109,女,汉族,统计与数学学院,经济统计学,经统1601,校级结项,第二,大学生创新创业训练计划-创业训练项目,教育部,团体,2018-12-08
61,201721100125,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,院级结项,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-05-09
62,1607010114,女,汉族,财政税务学院,财政学,财政1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-04-01
63,1632010149,女,汉族,文澜学院,经济管理试验班,经管1601,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-08
64,201721120054,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
65,1605060243,男,汉族,刑事司法学院,法学（司）,司法1602,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
66,1610010118,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
67,201721060628,女,土家族,工商管理学院,工商管理,工商1702,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-05-04
68,1607010113,男,汉族,财政税务学院,财政学,财政1601,国家级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2019-06-13
69,201721050068,男,汉族,刑事司法学院,侦查学,职侦1701,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-08
70,1606040126,女,汉族,工商管理学院,工商管理,工商1601,国家级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2019-05-04
71,1608020105,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1601,国家级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-13
72,1605030103,男,汉族,刑事司法学院,边防管理,边管1601,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
73,1603080219,男,汉族,金融学院,投资学,投资1602,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-11-16
74,201821040557,女,汉族,法学院,法学类,法1814,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-15
75,201721110090,女,汉族,外国语学院,商务英语,商英1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-11-16
76,1611080128,女,汉族,外国语学院,商务英语,商英1601,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-08-20
77,201721100137,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,院级结项,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-04-26
78,1603080140,男,汉族,金融学院,投资学,投资1601,校级结项,第二,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-07
79,1604060254,女,汉族,法学院,法学,民商1602,国家级结项,第三及以后,大学生创新创业训练计划-创业训练项目,教育部,团体,2018-12-28
80,201721320232,女,汉族,文澜学院,经济管理试验班,经管1701,院级结项,第三及以后,文澜学院-博文杯科研项目,文澜学院,团体,2018-12-24
81,201721070159,男,汉族,财政税务学院,财政学,财政1703,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
82,201721030012,女,汉族,金融学院,金融学,金融1701,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
83,201821080292,男,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
84,1623020113,女,汉族,中韩新媒体学院,电影学（影像）,影像1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
85,1604001013,男,汉族,法学院,法学,法1610,国家级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-01
86,1603080137,女,汉族,金融学院,投资学,投资1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-25
87,1609100114,女,汉族,统计与数学学院,经济统计学,经统1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-08
88,201821090280,男,汉族,统计与数学学院,统计学类,统计1802,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-06
89,1605060104,女,汉族,刑事司法学院,法学（司）,司法1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-05
90,201721070077,女,汉族,财政税务学院,财政学,财政1703,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
91,201721140190,男,汉族,哲学院,哲学,哲学1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-09-05
92,1609030114,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-24
93,1612040121,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-16
94,1608010121,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1601,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
95,201721040348,女,黎族,法学院,法学,民商1702,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
96,201721060590,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-15
97,1612040214,女,汉族,新闻与文化传播学院,新闻学,新闻1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-06
98,201721060588,女,汉族,金融学院,金融学,金融1702,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
99,1603100135,男,汉族,金融学院,房地产开发与管理,房产1601,校级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-20
100,201821080163,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1801,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
101,1608030325,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
102,201821020039,女,汉族,经济学院,经济学,经济1802,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-09-19
103,1613030110,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1602,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-06
104,201721030335,男,汉族,金融学院,投资学,投资1701,校级结项,第三及以后,大学生创新创业训练计划-创新训练项目,教育部,团体,2019-09-17
105,201721050009,男,汉族,刑事司法学院,侦查学,侦查1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-05-05
106,201721030132,女,汉族,金融学院,工程管理,工程1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
107,201721070054,男,汉族,财政税务学院,税收学,税务1703,国家级结项,第二,大学生创新创业训练计划-创新训练项目,教育部,团体,2019-09-26
108,201721020176,男,汉族,经济学院,经济学,经济1702,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-09-27
109,1605050129,男,汉族,刑事司法学院,侦查学,职侦1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
110,1608030317,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1603,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-02
111,201721030353,女,汉族,金融学院,金融学,金融1702,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
112,201721080283,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
113,201721100153,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
114,201721100120,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
115,1602040260,女,回族,经济学院,国际商务,国商1602,校级结项,第三及以后,大学生创新创业训练计划-创业训练项目,教育部,团体,2018-12-07
116,1602010105,男,汉族,经济学院,经济学,经济1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-30
117,201721060547,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-06
118,201821080198,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-08
119,1604001029,女,汉族,法学院,法学,法1610,校级结项,第一,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-11
120,1606100125,女,汉族,工商管理学院,物流管理,物管1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-04-01
121,1612030104,女,汉族,新闻与文化传播学院,汉语言文学,中文1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
122,201721060514,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
123,201721040266,女,汉族,法学院,法学,民商1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
124,201721140224,女,汉族,哲学院,社会学,社会1701,院级结项,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-03-20
125,1607010201,女,汉族,财政税务学院,财政学,财政1602,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-10
126,201721040582,男,汉族,法学院,法学,法1703,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-08-30
127,201721040649,男,汉族,法学院,法学,法1702,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-24
128,201721040238,女,汉族,法学院,法学,法1703,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
129,1607010237,女,纳西族,财政税务学院,财政学,财政1602,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
130,1606050103,女,汉族,工商管理学院,市场营销,市营1601,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-11-10
131,201721130127,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-06
132,1612040217,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1602,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-03-31
133,1607030325,男,汉族,财政税务学院,税收学,税务1603,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
134,201821080088,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1801,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-26
135,1603090161,女,回族,金融学院,金融工程,金工1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
136,201721060515,男,汉族,工商管理学院,电子商务（管理）,商务1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
137,1606020116,女,汉族,工商管理学院,贸易经济,贸经1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-10
138,201721100030,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共事业管理,公管1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
139,1602040143,女,汉族,经济学院,国际商务,国商1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
140,201821080254,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1801,院级结项,第三及以后,其他（见附件）,其他（见附件）,团体,2019-05-06
141,201721060385,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-05-01
142,201721110204,女,汉族,外国语学院,商务英语,商英1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-11-16
143,1604000530,女,汉族,法学院,法学,法1605,校级结项,第二,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-10
144,201721070190,男,汉族,财政税务学院,财政学,财政1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
145,201821050090,男,汉族,刑事司法学院,公安学类,公安1803,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
146,1606050120,男,汉族,工商管理学院,市场营销,市营1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
147,201721250291,女,回族,中韩新媒体学院,电影学（影像）,影像1703,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-06
148,1609100151,女,汉族,统计与数学学院,经济统计学,经统1601,院级结项,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-28
149,201721060232,女,汉族,工商管理学院,物流管理,物管1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-05-22
150,201721020134,女,汉族,经济学院,国际商务,国商1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-05-21
151,201721070008,女,汉族,财政税务学院,财政学,财政1703,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
152,1604000606,女,汉族,法学院,法学,法1606,校级结项,第一,大学生创新创业训练计划-创新训练项目,教育部,团体,2018-12-01
153,201821250247,女,汉族,中韩新媒体学院,视觉传达设计（动漫）,动漫1803,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-09-05
154,1603010112,女,汉族,金融学院,金融学,金融1601,院级结项,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-17
155,201821080109,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1801,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
156,201821080305,男,土家族,会计学院（会计硕士专业学位教育中心）,会计学,会计1802,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
157,1607030337,男,汉族,财政税务学院,税收学,税务1603,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-05-06
158,1606040112,女,汉族,刑事司法学院,法学（司）,司法1602,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
159,1603080141,女,壮族,金融学院,投资学,投资1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-03-01
160,1609050154,女,汉族,信息与安全工程学院,计算机科学与技术,计科1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
161,1610030122,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
162,1609100112,女,汉族,统计与数学学院,经济统计学,经统1601,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-03-28
163,201821030195,女,汉族,金融学院,管理科学与工程类,管工1802,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
164,201721040543,女,汉族,法学院,法学,法1705,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-04-29
165,201821080310,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1801,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
