id,number,gender,nation,academy,profession,class,volunteer_level,award_level,award_name,organization,award_type,award_date
59,201721060108,女,汉族,财政税务学院,税收学,税务1703,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-14
60,201821060595,女,汉族,工商管理学院,工商管理类,工商1809,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-06-01
61,201821130037,女,汉族,信息与安全工程学院,计算机类,信息1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-19
62,201721060630,女,土家族,工商管理学院,贸易经济,贸经1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-24
63,201721030149,女,汉族,金融学院,金融学（CFA）,CFA1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-14
64,201721040266,女,汉族,法学院,法学,民商1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-31
65,201821110203,女,汉族,外国语学院,外国语言文学类,英语1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-30
66,201821030285,女,汉族,金融学院,金融学类,金融1806,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-04-15
67,201821100228,女,土家族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-04-14
68,201821040424,女,汉族,法学院,法学类,法1807,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-22
69,1603150103,女,汉族,金融学院,保险学（精算）,保精1601,校级表彰,志愿服务先进个人,志愿服务“先进个人” ,共青团中南财经政法大学委员会,个体,2018-10-14
70,201721130210,女,汉族,信息与安全工程学院,电子商务（技术）,商务1702,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-16
71,201821100078,女,汉族,法学院,法学类,法1816,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-25
72,201821090269,女,汉族,统计与数学学院,金融数学,金数1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-07-09
73,201821030201,女,汉族,金融学院,金融学类,金融1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-04
74,201821030180,男,汉族,金融学院,管理科学与工程类,管工1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-01
75,201721100265,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共事业管理,公管1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-04
76,1607010323,女,汉族,财政税务学院,财政学,财政1603,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-31
77,201821100003,女,壮族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-23
78,201821040072,男,汉族,法学院,法学类,法1815,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-29
79,201821110172,女,汉族,外国语学院,日语,日语1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-18
80,1607010213,男,满族,财政税务学院,财政学,财政1602,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-13
81,201721030277,女,汉族,金融学院,金融工程,金工1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-14
82,201721100045,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-15
83,201821110264,女,汉族,外国语学院,外国语言文学类,英语1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-08
84,201721040561,女,维吾尔族,法学院,法学,法1701,院级表彰,志愿服务优秀团队,“四进社区”志愿服务活动,各学院,个体,2018-12-27
85,201721040128,女,汉族,法学院,法学,法1705,院级表彰,其他（参加活动但未获奖）,“四进社区”志愿服务活动,各学院,团体,2018-12-04
86,1604080111,女,汉族,法学院,法学,法制1601,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-14
87,201821060050,女,汉族,工商管理学院,工商管理类,工商1807,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-18
88,201821060239,女,汉族,工商管理学院,工商管理类,工商1809,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-02
89,201821040487,男,汉族,法学院,法学类,法1814,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-16
90,201721030403,女,汉族,金融学院,保险学,保险1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-06-01
91,1604060139,男,汉族,法学院,法学（卓越）,卓越1601,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-01
92,201821060137,男,汉族,工商管理学院,工商管理类,工商1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-06
93,201821020260,女,汉族,经济学院,经济学（实验）,经济实验1801,校级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,共青团中南财经政法大学委员会,个体,2019-04-16
94,201821080212,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-12
95,201821090158,女,汉族,统计与数学学院,统计学类,统计1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-26
96,201721110024,男,汉族,外国语学院,日语,日语1702,国家级表彰,志愿服务优秀团队,全国最佳志愿服务组织,中央宣传部、中央文明办、民政部、全国总工会、共青团中央等,个体,2018-09-29
97,201721140235,女,汉族,法学院,法学,法1704,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-31
98,201721060146,女,汉族,工商管理学院,工商管理,工商1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-02
99,201821100083,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-17
100,1608030138,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1601,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-20
101,201721040160,男,汉族,法学院,法学,法1702,校级表彰,志愿服务优秀团队,志愿服务“优秀团队”,共青团中南财经政法大学委员会,团体,2019-03-24
102,201821110112,男,汉族,外国语学院,法语,法语1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-18
103,201821080148,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-06-21
104,201821040494,女,汉族,法学院,法学类,法1808,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-31
105,201721080063,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-19
106,201721040470,女,回族,法学院,法学,法制1702,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-07-11
107,201821040692,女,汉族,法学院,法学类,法1804,校级表彰,志愿服务先进个人,志愿服务“先进个人” ,共青团中南财经政法大学委员会,个体,2018-05-08
108,201821040542,男,汉族,法学院,法学类,法1807,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-12
109,201721130108,女,汉族,信息与安全工程学院,计算机科学与技术,计科1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-23
110,201821090268,女,汉族,统计与数学学院,金融数学,金数1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-01
111,201721090005,女,汉族,统计与数学学院,信息与计算科学,信科1701,校级表彰,志愿服务先进个人,志愿服务“先进个人” ,共青团中南财经政法大学委员会,个体,2019-05-04
112,201821040530,女,汉族,法学院,法学类,法1813,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-06
113,201821030298,女,汉族,金融学院,管理科学与工程类,管工1803,院级表彰,志愿服务优秀团队,志愿服务“优秀团队”,各学院,团体,2019-04-20
114,201721030020,女,汉族,金融学院,保险学（精算）,保精1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-09
115,201721060062,女,汉族,工商管理学院,国际经济与贸易,国贸1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-13
116,201821030336,男,汉族,金融学院,管理科学与工程类,管工1801,院级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,各学院,个体,2019-05-08
117,201721060627,女,汉族,工商管理学院,市场营销,市营1701,校级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,共青团中南财经政法大学委员会,个体,2019-05-04
118,201821110032,女,苗族,法学院,法学（中美）,国法1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-25
119,201821080292,男,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-03-01
120,201721040229,女,汉族,法学院,法学,法1702,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-18
121,201821110181,女,汉族,外国语学院,外国语言文学类,英语1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-30
122,201821090285,女,瑶族,统计与数学学院,金融数学,金数1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-01
123,1604000942,女,汉族,法学院,法学,法1609,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-05
124,201821140069,男,汉族,哲学院,社会学,社会1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-31
125,201721020076,女,汉族,经济学院,经济学,经济1701,校级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,共青团中南财经政法大学委员会,个体,2018-12-05
126,1604000636,女,汉族,法学院,法学,法1606,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-01
127,201821040041,女,汉族,法学院,法学类,法1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-17
128,201721120198,男,汉族,新闻与文化传播学院,新闻学,新闻1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-05
129,201821110284,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-14
130,201721080245,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,院级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,各学院,个体,2019-05-04
131,201821110211,女,汉族,外国语学院,外国语言文学类,英语1803,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-30
132,201821100062,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1805,校级表彰,志愿服务优秀团队,志愿服务“优秀团队”,共青团中南财经政法大学委员会,团体,2019-05-04
133,201721100231,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共事业管理,公管1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-01
134,201821110139,女,汉族,外国语学院,外国语言文学类,英语1805,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-02
135,201821140021,女,汉族,哲学院,哲学,哲学1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-28
136,201821090086,男,汉族,统计与数学学院,经济统计学,经统1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-05
137,1611080236,女,汉族,外国语学院,商务英语,商英1602,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-14
138,201821030277,女,汉族,金融学院,金融学类,金融1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-02
139,1609020141,女,汉族,统计与数学学院,统计学,统计1601,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-21
140,1607030210,女,汉族,财政税务学院,税收学,税务1602,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-14
141,201821030255,女,汉族,金融学院,金融学类,金融1808,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-09-16
142,201821050190,女,汉族,刑事司法学院,公安学类,公安1802,院级表彰,志愿服务优秀团队,志愿服务“优秀团队”,各学院,团体,2018-12-20
143,201821060050,女,汉族,工商管理学院,工商管理类,工商1807,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-17
144,201721040349,男,汉族,法学院,法学,民商1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-29
145,1604000631,女,汉族,法学院,法学,法1606,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-09-21
146,201821040766,女,汉族,法学院,法学类,法1813,院级表彰,志愿服务优秀团队,“四进社区”志愿服务活动,各学院,团体,2019-05-30
147,201721060062,女,汉族,工商管理学院,国际经济与贸易,国贸1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-09-28
148,201729080367,女,侗族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,院级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,各学院,个体,2019-05-04
149,1602040213,女,汉族,财政税务学院,财政学（中英班）,国财1601,校级表彰,志愿服务先进个人,志愿服务“先进个人” ,共青团中南财经政法大学委员会,个体,2018-09-28
150,201721040441,女,汉族,法学院,法学,外法1701,院级表彰,志愿服务优秀团队,“四进社区”志愿服务活动,各学院,个体,2019-03-26
151,201821040299,女,汉族,法学院,法学类,法1812,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-18
152,201821130045,女,汉族,信息与安全工程学院,环境工程,环境1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-01-18
153,201721090207,男,汉族,统计与数学学院,统计学,统计1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-16
154,201821110054,男,汉族,外国语学院,外国语言文学类,英语1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-26
155,201821110198,女,汉族,外国语学院,法语,法语1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-11-11
156,201729040857,女,苗族,法学院,法学,法1702,校级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,共青团中南财经政法大学委员会,个体,2018-12-05
157,201821120102,男,汉族,新闻与文化传播学院,新闻传播学类,新闻1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-31
158,201821130062,女,汉族,信息与安全工程学院,计算机类,信息1805,校级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,共青团中南财经政法大学委员会,个体,2019-05-04
159,201721040450,男,汉族,法学院,法学,法1709,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-06-03
160,201821090082,女,汉族,统计与数学学院,统计学类,统计1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-10
161,201821110167,女,汉族,外国语学院,法语,法语1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-02
162,201721030119,女,汉族,金融学院,金融学,金融1701,院级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,各学院,个体,2019-05-04
163,1604000316,男,汉族,法学院,法学,法1603,院级表彰,志愿服务优秀团队,“四进社区”志愿服务活动,各学院,个体,2018-12-01
164,201821060116,女,汉族,财政税务学院,财政学（中英班）,国财1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-11
165,201821040694,女,汉族,法学院,法学类,法1811,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-07-08
166,201821080148,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-31
167,201821130163,男,汉族,信息与安全工程学院,计算机类,信息1803,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-31
168,1604080135,女,壮族,法学院,法学,法制1601,院级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,各学院,个体,2019-06-03
169,201821070151,男,汉族,金融学院,金融学（中美）,国金1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-04-17
170,1611000113,女,汉族,外国语学院,英语,英语1601,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-15
171,201821140036,女,汉族,哲学院,国际政治,国政1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-19
172,201721130004,女,汉族,信息与安全工程学院,电子商务（技术）,商务1702,院级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,各学院,个体,2019-05-04
173,201821090082,女,汉族,统计与数学学院,统计学类,统计1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-28
174,201721070212,女,汉族,财政税务学院,财政学,财政1701,院级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,各学院,个体,2019-09-05
175,201821060207,女,汉族,经济学院,经济学,经济1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-26
176,201721110176,女,汉族,外国语学院,英语,英语1703,校级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,共青团中南财经政法大学委员会,个体,2019-05-04
