id,number,gender,nation,academy,profession,class,competition_level,award_level,award_name,organization,award_type,is_principal,award_date
33,201821050090,男,汉族,刑事司法学院,公安学类,公安1803,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-29
34,1608010121,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1601,院级竞赛,二等奖,“明日之星“本科生学术论坛,会计学院,团体,暂无数据,2018-10-17
35,201821070136,女,汉族,财政税务学院,财政学类,财政1804,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,是,2019-07-17
36,1608020235,女,白族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1602,院级竞赛,二等奖,“明日之星“本科生学术论坛,会计学院,团体,暂无数据,2018-10-22
37,1613010118,男,汉族,信息与安全工程学院,安全工程,安全1601,省级竞赛,三等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-05-27
38,1606020141,女,汉族,财政税务学院,税收学,税务1601,校级竞赛,二等奖,大学生创新创业训练计划-创新项目,教育部,团体,暂无数据,2019-06-18
39,201721320010,女,汉族,文澜学院,经济管理试验班,经管1702,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部（明理杯）,团体,暂无数据,2019-06-27
40,201721040533,女,汉族,法学院,法学,民商1702,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-30
41,1604000704,男,汉族,法学院,法学,法1607,校级竞赛,优秀奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-14
42,201721070109,女,汉族,财政税务学院,税收学,税务1703,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,否,2018-12-21
43,201721140216,男,汉族,哲学院,国际政治,国政1701,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-01
44,201721040546,女,汉族,法学院,法学,法1707,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-15
45,201721320006,女,汉族,文澜学院,经济管理试验班,经管1701,省级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2018-09-13
46,201821060159,女,汉族,工商管理学院,经济与贸易类,经贸1802,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,暂无数据,2019-05-09
47,1612040122,女,汉族,新闻与文化传播学院,广播电视学,广电1601,校级竞赛,一等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,是,2018-12-01
48,201821030370,女,汉族,金融学院,管理科学与工程类,管工1801,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,暂无数据,2019-05-25
49,201721020042,男,汉族,经济学院,国际商务,国商1701,省级竞赛,三等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-05-26
50,1609110123,女,汉族,统计与数学学院,应用统计学,应统1601,国家级竞赛,一等奖,大学生创新创业训练计划-创新项目,教育部,团体,暂无数据,2019-04-25
51,201721100250,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1701,校级竞赛,二等奖,本科优秀科研成果评选,中南财经政法大学学生工作部,个体,暂无数据,2019-09-04
52,201821060210,女,汉族,工商管理学院,经济与贸易类,经贸1803,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,否,2019-05-29
53,201721130267,男,汉族,信息与安全工程学院,安全工程,安全1701,省级竞赛,二等奖,全国高校安全科学与工程大学生实践与创新作品大赛,全国高校安全工程学术年会委员会,团体,暂无数据,2019-08-21
54,1601020112,男,汉族,哲学院,国际政治,国政1601,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
55,201721130037,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,校级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-06-13
56,1611080301,女,汉族,外国语学院,商务英语,商英1703,校级竞赛,优秀奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-01
57,1610010132,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级竞赛,二等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-04-27
58,201821250272,女,汉族,中韩新媒体学院,电影学（影像）,影像1804,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部（明理杯）,团体,否,2019-09-08
59,201721100045,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,省级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2018-09-27
60,1606080150,女,汉族,工商管理学院,农林经济管理,农经1601,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-05
61,201721030191,女,汉族,会计学院（会计硕士专业学位教育中心）,国际会计（中澳班）,国会1701,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-11-21
62,201721030428,女,汉族,会计学院（会计硕士专业学位教育中心）,国际会计（中澳班）,国会1701,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-06
63,1609120105,男,汉族,统计与数学学院,金融数学,金数1601,省级竞赛,二等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,是,2019-05-01
64,1602010319,女,汉族,经济学院,经济学,经济1603,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,否,2019-05-01
65,1613010118,男,汉族,信息与安全工程学院,安全工程,安全1601,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部（明理杯）,团体,暂无数据,2019-06-01
66,201721090222,男,汉族,统计与数学学院,经济统计学,经统1701,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-06
67,1606050228,女,汉族,工商管理学院,市场营销,市营1602,国家级竞赛,一等奖,全国高校数据驱动创新研究大赛,北京大学图书馆 北京大学信息管理系 南海大数据应用研究院,团体,暂无数据,2019-03-01
68,1604000606,女,汉族,法学院,法学,法1606,校级竞赛,一等奖,大学生创新创业训练计划-创新项目,教育部,团体,暂无数据,2018-12-01
69,1610030156,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1601,校级竞赛,一等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,是,2019-09-08
70,1610080120,女,苗族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,省级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2018-12-01
71,1612040121,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1601,校级竞赛,三等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-04-16
72,1606020158,女,藏族,工商管理学院,贸易经济,贸经1601,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-01
73,1604000518,男,汉族,法学院,法学,法1605,校级竞赛,三等奖,大学生创新创业训练计划-创新项目,教育部,团体,暂无数据,2018-11-30
74,1604000141,女,汉族,法学院,法学,法1601,校级竞赛,二等奖,大学生创新创业训练计划-创新项目,教育部,团体,暂无数据,2018-12-07
75,201721100226,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1701,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
76,1605030113,男,汉族,刑事司法学院,侦查学,职侦1601,校级竞赛,一等奖,大学生创新创业训练计划-创新项目,教育部,团体,否,2018-09-30
77,201721030165,男,汉族,金融学院,房地产开发与管理,房产1701,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-01
78,201721050322,男,汉族,刑事司法学院,侦查学,职侦1701,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,是,2019-06-08
79,1606040216,女,汉族,工商管理学院,工商管理,工商1602,省级竞赛,一等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2018-09-29
80,1609030131,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,国家级竞赛,二等奖,“创青春” 全国大学生创业大赛,共青团中央、教育部,团体,暂无数据,2019-04-01
81,201721100192,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-03-05
82,201721030201,女,汉族,金融学院,金融工程,金工1701,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-09-08
83,201721110080,女,汉族,外国语学院,英语,英语1704,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,暂无数据,2019-04-26
84,201721060570,男,汉族,工商管理学院,电子商务（管理）,商务1701,校级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部（明理杯）,团体,是,2019-08-31
85,201721030415,女,汉族,金融学院,保险学（精算）,保精1701,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-29
86,201721080029,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-06
87,1602040113,女,汉族,经济学院,国际商务,国商1601,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
88,1612030128,女,汉族,新闻与文化传播学院,汉语言文学,中文1601,校级竞赛,优秀奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-09
89,1613010109,男,汉族,信息与安全工程学院,安全工程,安全1601,省级竞赛,二等奖,全国高校安全科学与工程大学生实践与创新作品大赛,全国高校安全工程学术年会委员会,团体,暂无数据,2018-08-01
90,201721060181,女,汉族,工商管理学院,旅游管理,旅游1701,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-01
91,1611080126,女,土家族,外国语学院,商务英语,商英1601,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-11-12
92,1609120111,女,汉族,统计与数学学院,金融数学,金数1601,省级竞赛,二等奖,暂无数据,共青团中央,团体,是,2019-05-25
93,201821100095,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1801,国家级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-08-30
94,1612090221,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1602,校级竞赛,优秀奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,否,2018-12-21
95,1602040260,女,回族,经济学院,国际商务,国商1602,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
96,201721090090,女,汉族,统计与数学学院,经济统计学,经统1701,校级竞赛,优秀奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
97,201721040598,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1701,校级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-08-28
98,1602040143,女,汉族,经济学院,国际商务,国商1601,校级竞赛,三等奖,暂无数据,共青团中央,团体,暂无数据,2019-04-01
99,1602040245,女,汉族,经济学院,国际商务,国商1602,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-11-29
100,1603080148,男,汉族,金融学院,投资学,投资1601,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-12-01
101,201721040741,男,汉族,法学院,法学,法制1702,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,暂无数据,2019-06-20
102,1602040137,女,汉族,经济学院,国际商务,国商1601,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
103,1606050121,女,汉族,工商管理学院,市场营销,市营1601,校级竞赛,二等奖,本科优秀科研成果评选,中南财经政法大学学生工作部,团体,暂无数据,2019-05-21
104,201821060479,女,汉族,工商管理学院,工商管理类,工商1801,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-09-08
105,1632010112,女,汉族,文澜学院,经济管理试验班,经管1601,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
106,201721030348,女,维吾尔族,金融学院,金融工程,金工1701,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-08-01
107,201721020007,女,汉族,经济学院,经济学,经济1703,省级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-07-01
108,1606040203,女,汉族,工商管理学院,工商管理,工商1602,院级竞赛,二等奖,“明日之星“本科生学术论坛,会计学院,团体,暂无数据,2018-10-17
109,1632010106,女,汉族,文澜学院,经济管理试验班,经管1601,院级竞赛,二等奖,未来经济与管理领军人才学术论坛,文澜学院,个体,暂无数据,2019-07-09
110,201721100044,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,否,2018-09-15
111,1602010439,男,汉族,经济学院,经济学,经济1604,国家级竞赛,三等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,否,2019-04-28
112,1610010104,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
113,201729050839,男,维吾尔族,刑事司法学院,法学（司）,司法1702,省级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-06-06
114,201721100038,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1701,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
115,201821090108,女,汉族,统计与数学学院,统计学类,统计1801,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,暂无数据,2018-10-02
116,201721060523,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-06
117,201721080316,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,院级竞赛,三等奖,“明日之星“本科生学术论坛,会计学院,团体,暂无数据,2018-10-17
118,1610030156,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1601,国家级竞赛,二等奖,大学生微创业行动,KAB全国推广办公室,团体,暂无数据,2018-11-20
119,201721060691,男,汉族,工商管理学院,电子商务（管理）,商务1701,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部（明理杯）,团体,是,2019-09-08
120,201821320007,女,汉族,文澜学院,经济管理试验班,经管1801,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-08
121,1602040150,女,侗族,经济学院,国际商务,国商1601,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
122,1601020108,女,汉族,哲学院,国际政治,国政1601,校级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-08-01
123,201721040234,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-09-08
124,1606030132,男,汉族,工商管理学院,管理科学,管科1601,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,否,2018-05-30
125,201721020047,男,汉族,经济学院,经济学,经济1704,院级竞赛,优秀奖,财经评论员大赛,经济学院,个体,暂无数据,2019-05-15
126,201721060302,女,汉族,工商管理学院,人力资源管理,人力1701,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-05
127,1610010141,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级竞赛,二等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-04-01
128,201821130164,女,汉族,信息与安全工程学院,计算机类,信息1803,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,暂无数据,2019-07-16
129,201821030466,女,汉族,金融学院,金融学类,金融1808,校级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部（明理杯）,团体,否,2019-09-08
130,1607010201,女,汉族,财政税务学院,财政学,财政1602,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-06-30
131,201721320019,女,汉族,文澜学院,经济管理试验班,经管1702,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-31
132,1608010101,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1601,院级竞赛,二等奖,“明日之星“本科生学术论坛,会计学院,团体,暂无数据,2018-10-17
133,1607030232,男,汉族,财政税务学院,税收学,税务1602,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-07
134,1604000436,女,汉族,法学院,法学,法1604,校级竞赛,优秀奖,暂无数据,共青团中央,团体,暂无数据,2019-04-30
135,201721040561,女,维吾尔族,法学院,法学,法1701,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部（明理杯）,团体,否,2019-06-08
136,1606050228,女,汉族,工商管理学院,市场营销,市营1602,省级竞赛,三等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-05-10
137,201821140013,男,汉族,哲学院,国际政治,国政1801,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-09-08
138,201721060547,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-06
139,201821060213,男,汉族,工商管理学院,工商管理类,工商1805,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-08-16
140,1610010131,男,汉族,法学院,法学,民商1601,院级竞赛,三等奖,“南湖法学杯”学术论文大赛,法学院,个体,暂无数据,2019-06-01
141,1611090110,女,汉族,外国语学院,俄语,俄语1601,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,暂无数据,2017-04-05
142,201721130258,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-09-08
143,1607010314,女,汉族,财政税务学院,财政学,财政1603,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-31
144,201828120170,女,维吾尔族,新闻与文化传播学院,新闻传播学类,新闻1801,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,是,2018-11-03
145,1604000408,女,汉族,法学院,法学,法1604,校级竞赛,优秀奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-04-20
146,1611080121,女,汉族,外国语学院,商务英语,商英1601,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-01
147,1603030116,女,汉族,金融学院,工程管理,工程1601,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
148,1604060123,女,汉族,法学院,法学,民商1601,校级竞赛,二等奖,大学生创新创业训练计划-创新项目,教育部,团体,是,2018-12-31
149,201721020176,男,汉族,经济学院,经济学,经济1702,校级竞赛,优秀奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-04-24
150,1612040106,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1603,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部（明理杯）,团体,否,2018-12-30
151,1612040114,女,汉族,新闻与文化传播学院,新闻学,新闻1601,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-01
152,201729080368,女,维吾尔族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,省级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,是,2019-07-31
153,201721040433,女,汉族,法学院,法学,外法1701,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-05-27
154,1603080207,女,汉族,金融学院,投资学,投资1602,国家级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2018-10-25
155,1602010245,女,蒙古族,经济学院,经济学,经济1602,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-07
156,201721320005,女,汉族,文澜学院,经济管理试验班,经管1702,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-13
