序号,学号,学院,专业,班级,加权平均成绩,算术平均成绩,能力评价总分,基本素质总分,综合评价总分,加权平均成绩年级专业排名,科研创新总分排名,专业技能总分排名,文体特长总分排名,团学工作总分排名,社会实践总分排名,必修课程门数,必修课程及格门数,体测成绩
38,1601020136,哲学院,国际政治,国政1601,87.67,87.58,0,0,48.22/34,14/34,3/34,14/34,6/34,7/34,6/34,19,19,合格
39,1601020135,哲学院,国际政治,国政1601,87.54,87.78,0,0,48.15/34,15/34,3/34,14/34,6/34,7/34,6/34,18,18,合格
40,1601020138,哲学院,国际政治,国政1601,86.86,87.11,0,0,47.77/34,17/34,3/34,14/34,6/34,7/34,6/34,18,18,合格
41,1601020134,哲学院,国际政治,国政1601,86.42,86.17,0,0,47.53/34,20/34,3/34,14/34,6/34,7/34,6/34,18,18,合格
42,1601020122,哲学院,国际政治,国政1601,86.15,86.28,0,0,47.38/34,22/34,3/34,14/34,6/34,7/34,6/34,18,18,合格
43,1601020131,哲学院,国际政治,国政1601,84.60,84.72,0,0,46.53/34,24/34,3/34,14/34,6/34,7/34,6/34,18,18,合格
44,1601020128,哲学院,国际政治,国政1601,84.54,84.39,0,0,46.50/34,25/34,3/34,14/34,6/34,7/34,6/34,18,18,合格
45,1601020120,哲学院,国际政治,国政1601,84.34,84.56,0,0,46.39/34,26/34,3/34,14/34,6/34,7/34,6/34,16,16,合格
46,1601020129,哲学院,国际政治,国政1601,83.90,83.60,0,0,46.15/34,27/34,3/34,14/34,6/34,7/34,6/34,15,15,合格
47,1601020104,哲学院,国际政治,国政1601,83.55,83.25,0,0,45.95/34,28/34,3/34,14/34,6/34,7/34,6/34,16,16,合格
48,1601020110,哲学院,国际政治,国政1601,82.07,82.24,0,0,45.14/34,29/34,3/34,14/34,6/34,7/34,6/34,17,17,合格
49,1601020121,哲学院,国际政治,国政1601,81.56,81.41,0,0,44.86/34,31/34,3/34,14/34,6/34,7/34,6/34,17,17,合格
50,1601020117,哲学院,国际政治,国政1601,81.31,80.58,0,0,44.72/34,32/34,3/34,14/34,6/34,7/34,6/34,20,19,合格
51,1601020115,哲学院,国际政治,国政1601,79.57,79.76,0,0,43.76/34,33/34,3/34,14/34,6/34,7/34,6/34,18,17,不合格
52,1601020101,哲学院,国际政治,国政1601,77.75,79.61,0,0,42.76/34,34/34,3/34,14/34,6/34,7/34,6/34,18,17,合格
53,1601040123,哲学院,社会学,社会1601,94.24,94.31,6.28,99,68.57/22,1/22,7/22,3/22,2/22,1/22,4/22,16,16,合格
54,1601040122,哲学院,社会学,社会1601,93.08,93.53,6.32,96,67.49/22,2/22,7/22,10/22,4/22,2/22,1/22,17,17,合格
55,1601040102,哲学院,社会学,社会1601,91.09,91.06,7.00,97,66.75/22,7/22,2/22,4/22,5/22,4/22,6/22,17,17,合格
56,1601040115,哲学院,社会学,社会1601,92.05,92.00,7.00,93,66.68/22,3/22,1/22,2/22,5/22,7/22,6/22,18,18,合格
57,1601040105,哲学院,社会学,社会1601,91.09,91.00,5.68,98,66.50/22,7/22,5/22,4/22,3/22,5/22,4/22,17,17,合格
58,1601040116,哲学院,社会学,社会1601,91.00,90.94,7.25,95,66.48/22,9/22,2/22,1/22,5/22,7/22,6/22,16,16,合格
59,1601040112,哲学院,社会学,社会1601,91.19,91.27,5.38,97,66.32/22,6/22,2/22,8/22,5/22,7/22,3/22,15,15,合格
60,1601040106,哲学院,社会学,社会1601,91.85,91.88,1.50,99,65.82/22,4/22,7/22,13/22,1/22,7/22,6/22,16,16,不合格
61,1601040101,哲学院,社会学,社会1601,91.39,91.00,2.75,93,65.04/22,5/22,7/22,8/22,5/22,7/22,2/22,15,15,合格
62,1601040108,哲学院,社会学,社会1601,90.57,90.31,3.05,95,64.98/22,11/22,7/22,4/22,5/22,5/22,6/22,16,16,合格
63,1601040118,哲学院,社会学,社会1601,90.72,90.47,2.25,94,64.67/22,10/22,7/22,4/22,5/22,7/22,6/22,17,17,合格
64,1601040113,哲学院,社会学,社会1601,90.20,89.88,2.15,95,64.51/22,13/22,7/22,10/22,5/22,2/22,6/22,16,16,合格
65,1601040117,哲学院,社会学,社会1601,90.56,90.35,1.80,92,64.15/22,12/22,6/22,10/22,5/22,7/22,6/22,17,17,合格
66,1601040120,哲学院,社会学,社会1601,89.41,89.50,0,0,49.18/22,14/22,7/22,13/22,5/22,7/22,6/22,16,16,合格
67,1601040124,哲学院,社会学,社会1601,89.35,89.33,0,0,49.14/22,15/22,7/22,13/22,5/22,7/22,6/22,18,18,合格
68,1601040121,哲学院,社会学,社会1601,89.30,89.19,0,0,49.12/22,16/22,7/22,13/22,5/22,7/22,6/22,16,16,合格
69,1601040109,哲学院,社会学,社会1601,89.00,88.94,0,0,48.95/22,17/22,7/22,13/22,5/22,7/22,6/22,17,17,不合格
70,1601040119,哲学院,社会学,社会1601,88.67,88.56,0,0,48.77/22,18/22,7/22,13/22,5/22,7/22,6/22,16,16,不合格
71,1601040111,哲学院,社会学,社会1601,88.26,87.85,0,0,48.54/22,19/22,7/22,13/22,5/22,7/22,6/22,20,20,合格
72,1601040103,哲学院,社会学,社会1601,86.35,80.65,0,0,47.49/22,20/22,7/22,13/22,5/22,7/22,6/22,17,15,合格
73,1601040114,哲学院,社会学,社会1601,83.50,83.58,0,0,45.93/22,21/22,7/22,13/22,5/22,7/22,6/22,19,19,合格
74,1601040110,哲学院,社会学,社会1601,81.37,82.00,0,0,44.75/22,22/22,7/22,13/22,5/22,7/22,6/22,20,20,不合格
75,201721140190,哲学院,哲学,哲学1701,94.63,94.33,5.50,100,68.70/30,1/30,1/30,4/30,4/30,12/30,1/30,24,24,合格
76,201721140011,哲学院,哲学,哲学1701,94.49,93.79,4.30,100,68.26/30,2/30,2/30,4/30,4/30,2/30,1/30,24,24,合格
77,201721140041,哲学院,哲学,哲学1701,91.51,91.29,1.15,100,65.68/30,3/30,3/30,15/30,3/30,6/30,1/30,24,24,合格
78,201721140035,哲学院,哲学,哲学1701,91.14,91.00,0.90,100,65.40/30,4/30,3/30,4/30,4/30,13/30,1/30,24,24,合格
79,201721140163,哲学院,哲学,哲学1701,89.46,89.05,3.00,100,65.10/30,6/30,3/30,1/30,4/30,13/30,1/30,22,22,合格
80,201721140046,哲学院,哲学,哲学1701,88.59,89.13,3.40,100,64.74/30,7/30,3/30,3/30,4/30,5/30,1/30,24,24,合格
81,201721140182,哲学院,哲学,哲学1701,87.97,87.26,2.40,100,64.10/30,8/30,3/30,13/30,4/30,4/30,1/30,23,23,合格
82,201721140034,哲学院,哲学,哲学1701,87.87,88.42,1.25,100,63.70/30,9/30,3/30,11/30,4/30,9/30,1/30,24,24,合格
83,201721140160,哲学院,哲学,哲学1701,86.93,87.92,2.52,99,63.42/30,14/30,3/30,2/30,2/30,9/30,1/30,24,24,合格
84,201721140036,哲学院,哲学,哲学1701,87.40,87.96,0.90,100,63.34/30,10/30,3/30,4/30,4/30,13/30,1/30,24,24,合格
85,201721140027,哲学院,哲学,哲学1701,87.39,87.46,1.25,99,63.29/30,11/30,3/30,13/30,4/30,7/30,1/30,24,24,合格
86,201721140198,哲学院,哲学,哲学1701,86.40,87.00,1.70,100,63.03/30,16/30,3/30,4/30,4/30,7/30,1/30,24,24,合格
87,201721140025,哲学院,哲学,哲学1701,84.44,85.88,4.85,100,62.90/30,18/30,3/30,11/30,1/30,1/30,1/30,24,24,合格
88,201721140214,哲学院,哲学,哲学1701,85.50,86.08,2.00,99,62.48/30,17/30,3/30,15/30,4/30,3/30,1/30,24,24,合格
89,201721140157,哲学院,哲学,哲学1701,83.68,84.63,1.40,100,61.44/30,23/30,3/30,4/30,4/30,9/30,1/30,24,24,合格
90,201721140040,哲学院,哲学,哲学1701,83.87,85.33,0.90,98,61.10/30,21/30,3/30,4/30,4/30,13/30,1/30,24,24,合格
91,201721140024,哲学院,哲学,哲学1701,90.51,90.38,0,0,49.78/30,5/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
92,201721140181,哲学院,哲学,哲学1701,87.13,87.71,0,0,47.92/30,12/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
93,201721140183,哲学院,哲学,哲学1701,86.97,87.42,0,0,47.83/30,13/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
94,201721140197,哲学院,哲学,哲学1701,86.45,87.08,0,0,47.55/30,15/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
95,201721140026,哲学院,哲学,哲学1701,84.16,84.36,0,0,46.29/30,19/30,3/30,15/30,4/30,13/30,1/30,25,25,不合格
96,201721140185,哲学院,哲学,哲学1701,84.03,84.63,0,0,46.22/30,20/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
97,201721140047,哲学院,哲学,哲学1701,83.81,84.46,0,0,46.10/30,22/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
98,201721140231,哲学院,哲学,哲学1701,82.37,82.54,0,0,45.30/30,24/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
99,201721140219,哲学院,哲学,哲学1701,82.02,82.88,0,0,45.11/30,25/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
100,201721140045,哲学院,哲学,哲学1701,81.99,82.50,0,0,45.09/30,26/30,3/30,15/30,4/30,13/30,1/30,24,23,不合格
101,201721140211,哲学院,哲学,哲学1701,80.52,82.13,0,0,44.29/30,27/30,3/30,15/30,4/30,13/30,1/30,24,24,合格
102,201721140206,哲学院,哲学,哲学1701,77.73,79.50,0,0,42.75/30,28/30,3/30,15/30,4/30,13/30,1/30,24,23,合格
103,201721140184,哲学院,哲学,哲学1701,76.96,78.75,0,0,42.33/30,29/30,3/30,15/30,4/30,13/30,1/30,24,23,合格
104,201721140155,哲学院,哲学,哲学1701,75.97,77.58,0,0,41.78/30,30/30,3/30,15/30,4/30,13/30,1/30,24,22,合格
105,201721140162,哲学院,国际政治,首国政1701,88.66,89.52,9.08,100,66.49/35,9/35,1/35,22/35,5/35,1/35,1/35,25,25,合格
106,201721140159,哲学院,国际政治,首国政1701,90.91,90.40,4.62,100,66.39/35,3/35,5/35,3/35,10/35,13/35,2/35,25,25,合格
107,201721140001,哲学院,国际政治,首国政1701,89.46,89.63,6.65,100,66.20/35,6/35,1/35,2/35,4/35,16/35,7/35,27,27,合格
108,201721040154,哲学院,国际政治,首国政1701,92.09,92.16,2.25,98,66.02/35,2/35,5/35,11/35,14/35,15/35,7/35,25,25,合格
109,201721140003,哲学院,国际政治,首国政1701,89.66,89.28,5.98,98,65.81/35,5/35,5/35,13/35,1/35,4/35,7/35,25,25,合格
110,201721140029,哲学院,国际政治,首国政1701,90.54,90.46,2.38,100,65.51/35,4/35,5/35,13/35,10/35,8/35,7/35,24,24,合格
111,201721140165,哲学院,国际政治,首国政1701,89.22,89.44,2.65,100,64.87/35,7/35,5/35,13/35,14/35,16/35,2/35,25,25,合格
112,201721140166,哲学院,国际政治,首国政1701,87.73,87.80,5.25,100,64.83/35,17/35,5/35,1/35,14/35,11/35,2/35,25,25,合格
113,201721140006,哲学院,国际政治,首国政1701,89.08,89.80,2.40,100,64.71/35,8/35,5/35,5/35,14/35,16/35,7/35,25,25,合格
114,201721140221,哲学院,国际政治,首国政1701,88.27,88.85,3.85,100,64.70/35,12/35,5/35,5/35,6/35,6/35,7/35,26,26,合格
115,201721140028,哲学院,国际政治,首国政1701,88.50,89.20,2.55,99,64.29/35,11/35,5/35,13/35,9/35,7/35,7/35,25,25,合格
116,201721140012,哲学院,国际政治,首国政1701,88.66,88.75,2.18,99,64.27/35,9/35,5/35,12/35,7/35,22/35,7/35,24,24,合格
117,201721140010,哲学院,国际政治,首国政1701,87.97,88.38,2.80,100,64.22/35,15/35,5/35,5/35,14/35,9/35,7/35,24,24,合格
118,201721140232,哲学院,国际政治,首国政1701,88.16,88.72,2.25,99,64.01/35,13/35,3/35,13/35,14/35,22/35,7/35,25,25,合格
119,201721140207,哲学院,国际政治,首国政1701,87.05,87.73,3.70,100,63.99/35,20/35,5/35,5/35,3/35,19/35,7/35,26,26,合格
120,201721140017,哲学院,国际政治,首国政1701,87.19,87.58,3.30,100,63.94/35,18/35,5/35,5/35,14/35,5/35,7/35,25,25,合格
121,201721140161,哲学院,国际政治,首国政1701,87.11,87.60,3.00,100,63.81/35,19/35,5/35,13/35,14/35,11/35,2/35,25,25,合格
122,201721140015,哲学院,国际政治,首国政1701,88.03,88.16,1.95,98,63.70/35,14/35,5/35,5/35,14/35,22/35,7/35,25,25,合格
123,201721140216,哲学院,国际政治,首国政1701,87.81,88.24,1.50,98,63.45/35,16/35,3/35,22/35,14/35,22/35,7/35,25,25,合格
124,201721140217,哲学院,国际政治,首国政1701,85.66,86.65,3.78,100,63.25/35,24/35,5/35,13/35,2/35,9/35,7/35,26,26,合格
125,201721140016,哲学院,国际政治,首国政1701,85.81,86.64,3.40,100,63.22/35,23/35,5/35,13/35,7/35,2/35,7/35,25,25,合格
126,201721140164,哲学院,国际政治,首国政1701,86.55,86.72,1.15,100,62.95/35,21/35,5/35,22/35,14/35,13/35,7/35,25,25,合格
127,201721140223,哲学院,国际政治,首国政1701,85.96,87.08,2.70,97,62.64/35,22/35,5/35,13/35,14/35,3/35,7/35,25,25,合格
128,201721140172,哲学院,国际政治,首国政1701,85.17,85.88,0.80,100,62.08/35,26/35,5/35,22/35,12/35,20/35,7/35,25,25,合格
129,201721100151,哲学院,国际政治,首国政1701,92.61,92.36,3.90,0,52.11/35,1/35,5/35,3/35,12/35,21/35,2/35,25,25,不合格
130,201721140204,哲学院,国际政治,首国政1701,85.46,86.28,0,0,47.00/35,25/35,5/35,26/35,14/35,22/35,7/35,25,25,合格
131,201721140215,哲学院,国际政治,首国政1701,84.53,85.24,0,0,46.49/35,27/35,5/35,26/35,14/35,22/35,7/35,25,25,合格
132,201721140018,哲学院,国际政治,首国政1701,84.02,84.60,0,0,46.21/35,28/35,5/35,26/35,14/35,22/35,7/35,25,25,合格
133,201721140187,哲学院,国际政治,首国政1701,82.95,84.20,0,0,45.62/35,29/35,5/35,26/35,14/35,22/35,7/35,25,25,合格
134,201721140213,哲学院,国际政治,首国政1701,81.77,82.04,0,0,44.97/35,30/35,5/35,26/35,14/35,22/35,7/35,25,24,合格
135,201721140200,哲学院,国际政治,首国政1701,81.42,79.92,0,0,44.78/35,31/35,5/35,26/35,14/35,22/35,7/35,25,24,合格
136,201721140168,哲学院,国际政治,首国政1701,81.08,82.20,0,0,44.59/35,32/35,5/35,26/35,14/35,22/35,7/35,25,25,合格
137,201721140188,哲学院,国际政治,首国政1701,79.30,77.46,0,0,43.62/35,33/35,5/35,26/35,14/35,22/35,7/35,24,22,合格
138,201721140212,哲学院,国际政治,首国政1701,77.93,78.80,0,0,42.86/35,34/35,5/35,26/35,14/35,22/35,7/35,25,25,不合格
139,201721140158,哲学院,国际政治,首国政1701,77.41,78.96,0,0,42.58/35,35/35,5/35,26/35,14/35,22/35,7/35,25,24,合格
140,201721140170,哲学院,社会学,社会1701,93.49,93.56,10.85,100,69.67/36,1/36,2/36,10/36,3/36,4/36,1/36,27,27,合格
141,201721140202,哲学院,社会学,社会1701,91.47,91.44,8.00,97,67.26/36,4/36,2/36,2/36,2/36,20/36,11/36,27,27,合格
142,201721140032,哲学院,社会学,社会1701,91.69,91.41,5.60,98,66.81/36,3/36,11/36,4/36,11/36,12/36,2/36,27,27,合格
143,201721140205,哲学院,社会学,社会1701,90.39,90.33,7.15,97,66.41/36,11/36,1/36,7/36,11/36,12/36,11/36,27,27,合格
144,201721140171,哲学院,社会学,社会1701,91.92,91.96,2.05,100,66.17/36,2/36,11/36,17/36,7/36,5/36,11/36,27,27,合格
145,201721140042,哲学院,社会学,社会1701,90.54,90.89,4.08,100,66.02/36,7/36,6/36,10/36,5/36,20/36,5/36,27,27,合格
146,201721140209,哲学院,社会学,社会1701,91.02,90.78,2.30,100,65.75/36,5/36,11/36,23/36,11/36,1/36,5/36,27,27,合格
147,201721140173,哲学院,社会学,社会1701,90.42,90.22,2.47,100,65.47/36,10/36,11/36,10/36,9/36,5/36,9/36,27,27,合格
148,201721140224,哲学院,社会学,社会1701,90.53,90.63,2.18,100,65.45/36,8/36,10/36,6/36,11/36,19/36,11/36,27,27,合格
149,201721140039,哲学院,社会学,社会1701,89.91,89.22,2.75,100,65.28/36,12/36,6/36,7/36,11/36,17/36,11/36,27,27,合格
150,201721140020,哲学院,社会学,社会1701,89.08,89.00,4.20,100,65.25/36,16/36,6/36,1/36,11/36,20/36,11/36,27,27,合格
151,201721140194,哲学院,社会学,社会1701,90.43,90.00,2.12,99,65.22/36,9/36,6/36,17/36,11/36,20/36,7/36,26,26,合格
152,201721140230,哲学院,社会学,社会1701,89.20,89.56,2.10,100,64.69/36,14/36,11/36,17/36,8/36,2/36,11/36,27,27,合格
153,201721140229,哲学院,社会学,社会1701,88.98,89.44,1.65,100,64.43/36,17/36,11/36,17/36,11/36,2/36,11/36,27,27,合格
154,201721140002,哲学院,社会学,社会1701,88.92,88.81,1.70,99,64.27/36,18/36,11/36,10/36,11/36,10/36,11/36,27,27,合格
155,201721140179,哲学院,社会学,社会1701,89.11,88.64,1.90,97,64.13/36,15/36,11/36,7/36,11/36,12/36,11/36,25,25,合格
156,201721140180,哲学院,社会学,社会1701,87.86,88.07,3.10,97,63.80/36,21/36,11/36,4/36,11/36,12/36,11/36,27,27,合格
157,201721140175,哲学院,社会学,社会1701,89.90,89.89,0.58,94,63.72/36,13/36,11/36,17/36,11/36,20/36,9/36,27,27,合格
158,201721140019,哲学院,社会学,社会1701,85.58,85.46,5.12,97,63.16/36,27/36,4/36,3/36,10/36,17/36,8/36,26,26,合格
159,201721140208,哲学院,社会学,社会1701,85.25,85.54,3.40,100,62.91/36,29/36,11/36,17/36,4/36,8/36,3/36,26,26,合格
160,201721140203,哲学院,社会学,社会1701,85.88,85.88,1.58,97,62.26/36,25/36,11/36,14/36,6/36,20/36,11/36,26,26,合格
161,201721140225,哲学院,社会学,社会1701,85.45,85.92,0.55,100,62.16/36,28/36,11/36,23/36,11/36,9/36,11/36,26,26,合格
162,201721140233,哲学院,社会学,社会1701,84.96,85.48,1.00,100,62.03/36,30/36,11/36,23/36,11/36,5/36,11/36,27,27,合格
163,201721140195,哲学院,社会学,社会1701,82.02,82.30,7.08,91,60.89/36,33/36,11/36,15/36,1/36,16/36,11/36,27,27,合格
164,201721140199,哲学院,社会学,社会1701,88.27,88.31,4.25,0,49.82/36,19/36,4/36,15/36,11/36,10/36,3/36,26,26,合格
165,201721140031,哲学院,社会学,社会1701,90.59,88.52,0,0,49.82/36,6/36,11/36,23/36,11/36,20/36,11/36,27,26,合格
166,201721140218,哲学院,社会学,社会1701,87.94,87.93,0,0,48.37/36,20/36,11/36,23/36,11/36,20/36,11/36,27,27,不合格
167,201721140189,哲学院,社会学,社会1701,86.69,86.31,0,0,47.68/36,22/36,11/36,23/36,11/36,20/36,11/36,26,26,合格
168,201721140196,哲学院,社会学,社会1701,86.15,86.22,0,0,47.38/36,23/36,11/36,23/36,11/36,20/36,11/36,27,27,合格
169,201721140169,哲学院,社会学,社会1701,86.10,86.85,0,0,47.36/36,24/36,11/36,23/36,11/36,20/36,11/36,27,27,合格
170,201721140186,哲学院,社会学,社会1701,85.68,86.15,0,0,47.12/36,26/36,11/36,23/36,11/36,20/36,11/36,26,26,合格
171,201721140178,哲学院,社会学,社会1701,84.34,84.56,0,0,46.39/36,31/36,11/36,23/36,11/36,20/36,11/36,27,27,合格
172,201721140210,哲学院,社会学,社会1701,82.65,83.04,0,0,45.46/36,32/36,11/36,23/36,11/36,20/36,11/36,27,27,合格
173,201721140177,哲学院,社会学,社会1701,81.95,82.11,0,0,45.07/36,34/36,11/36,23/36,11/36,20/36,11/36,27,27,合格
174,201721140038,哲学院,社会学,社会1701,80.44,79.85,0,0,44.24/36,35/36,11/36,23/36,11/36,20/36,11/36,27,27,不合格
175,201721140236,哲学院,社会学,社会1701,13.02,19.89,0,0,7.16/36,36/36,11/36,23/36,11/36,20/36,11/36,19,4,不合格
176,201821140021,哲学院,哲学,哲学1801,91.36,91.50,3.85,94,65.50/35,1/35,1/35,1/35,11/35,6/35,1/35,22,22,合格
177,201821140007,哲学院,哲学,哲学1801,89.72,89.81,3.03,95,64.51/35,6/35,1/35,3/35,1/35,3/35,2/35,21,21,合格
178,201821140102,哲学院,哲学,哲学1801,90.45,90.45,1.32,95,64.39/35,3/35,1/35,3/35,6/35,6/35,2/35,22,22,合格
179,201821140024,哲学院,哲学,哲学1801,90.33,89.86,0.42,97,64.36/35,4/35,1/35,7/35,6/35,8/35,2/35,21,21,合格
180,201821140027,哲学院,哲学,哲学1801,90.79,90.19,0.60,95,64.36/35,2/35,1/35,7/35,11/35,4/35,2/35,21,21,合格
181,201821140055,哲学院,哲学,哲学1801,89.82,89.43,1.95,94,64.09/35,5/35,1/35,2/35,2/35,11/35,2/35,21,21,合格
182,201821140061,哲学院,哲学,哲学1801,89.47,89.59,1.00,97,64.06/35,9/35,1/35,7/35,11/35,2/35,2/35,22,22,合格
183,201821140079,哲学院,哲学,哲学1801,89.01,88.86,2.55,95,63.97/35,11/35,1/35,3/35,11/35,1/35,2/35,22,22,合格
184,201821140103,哲学院,哲学,哲学1801,89.68,89.67,0.00,94,63.42/35,7/35,1/35,7/35,11/35,11/35,2/35,21,21,合格
185,201821140058,哲学院,哲学,哲学1801,88.94,88.90,0.67,95,63.37/35,12/35,1/35,7/35,4/35,11/35,2/35,20,20,合格
186,201821140088,哲学院,哲学,哲学1801,89.48,89.38,0.00,94,63.31/35,8/35,1/35,7/35,11/35,11/35,2/35,21,21,合格
187,201821140040,哲学院,哲学,哲学1801,89.34,89.35,0.00,94,63.24/35,10/35,1/35,7/35,11/35,11/35,2/35,20,20,合格
188,201821140033,哲学院,哲学,哲学1801,88.79,88.05,0.00,96,63.23/35,13/35,1/35,7/35,11/35,11/35,2/35,21,21,不合格
189,201821140104,哲学院,哲学,哲学1801,88.37,88.50,0.38,95,62.97/35,14/35,1/35,7/35,6/35,11/35,2/35,22,22,合格
190,201821140023,哲学院,哲学,哲学1801,87.31,87.45,0.00,96,62.42/35,16/35,1/35,7/35,11/35,11/35,2/35,20,20,合格
