序号,学号,性别,民族,学院,专业,班级,荣誉级别,荣誉类型,荣誉名称,颁奖单位,获得荣誉时间
17,201821040615,男,汉族,法学院,法学类,法1812,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
18,201721020064,女,汉族,经济学院,国际商务,国商1702,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
19,201821020106,女,汉族,金融学院,金融学（中美）,国金1801,院级,团学先进个人,综合表彰之模范团干,各学院,2019-05-04
20,1601040123,男,汉族,哲学院,社会学,社会1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
21,201821040005,女,汉族,法学院,法学类,法1815,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
22,201721090018,女,蒙古族,统计与数学学院,信息与计算科学,信科1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
23,201721060433,男,汉族,金融学院,金融学（中美）,国金1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
24,201721080010,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-08
25,1605030121,女,汉族,刑事司法学院,边防管理,边管1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
26,201821120073,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1801,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-04
27,201821050027,女,汉族,刑事司法学院,公安学类,公安1805,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-03-15
28,1612040216,女,汉族,金融学院,金融学（中美）,国金1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
29,201821060576,男,汉族,工商管理学院,经济与贸易类,经贸1802,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
30,201821030290,男,汉族,金融学院,金融学类,金融1802,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
31,201821090020,女,汉族,统计与数学学院,统计学类,统计1803,院级,团学先进个人,青年马克思主义者培养工程-优秀学员,共青团中央,2019-05-12
32,201821040072,男,汉族,法学院,法学类,法1815,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
33,201821050035,男,汉族,刑事司法学院,公安学类,公安1803,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-04-08
34,201721020009,女,汉族,经济学院,国际商务,国商1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
35,201721090146,女,汉族,统计与数学学院,统计学,统计1701,院级,团学先进个人,青年马克思主义者培养工程-优秀学员,共青团中央,2019-05-12
36,201821080191,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1801,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
37,201721070192,女,汉族,财政税务学院,税收学,税务1701,院级,团学先进个人,青年马克思主义者培养工程-优秀学员,共青团中央,2019-05-28
38,201721070073,女,汉族,财政税务学院,税收学,税务1703,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
39,201721040405,女,汉族,法学院,法学,法1706,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2018-12-07
40,201721030269,女,汉族,金融学院,金融学,金融1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
41,1612040342,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1601,校级,团学先进个人,优秀军训助理,中南财经政法大学学生工作部,2017-09-09
42,201821030175,女,汉族,金融学院,金融学类,金融1803,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-04
43,1608010317,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1603,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
44,201721140005,女,汉族,法学院,法学,民商1701,院级,优秀学生组织主要负责人,年度综合表彰-十佳班集体,法学院,2018-12-06
45,201721040231,女,土家族,法学院,法学,法1706,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
46,201821140017,女,汉族,哲学院,国际政治,国政1801,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
47,1603010108,女,汉族,金融学院,金融学,金融1601,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
48,201721060215,女,汉族,工商管理学院,国际经济与贸易,国贸1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
49,1601020109,女,汉族,哲学院,国际政治,国政1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-02-07
50,1612030116,男,汉族,新闻与文化传播学院,汉语言文学,中文1601,校级,团学先进个人,模范团干,共青团中南财经政法大学委员会,2019-05-04
51,201821040345,女,汉族,法学院,法学类,法1812,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-28
52,201821060311,女,汉族,工商管理学院,经济与贸易类,经贸1802,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
53,201821100256,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1804,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-05
54,1603030102,女,汉族,金融学院,工程管理,工程1601,院级,团学先进个人,综合表彰之优秀学生,各学院,2019-02-01
55,201721030413,女,汉族,金融学院,投资学,投资1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
56,1604060103,男,汉族,法学院,法学,民商1601,院级,团学先进个人,法学院-年度综合表彰-个人荣誉称号,法学院,2018-12-25
57,201721130208,女,汉族,信息与安全工程学院,环境工程,环境1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-09
58,1608010124,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1601,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-04
59,201721070060,女,汉族,财政税务学院,财政学,财政1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
60,1602040116,女,汉族,经济学院,国际商务,国商1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-04-07
61,201721120143,女,汉族,新闻与文化传播学院,广播电视学,广电1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
62,201821040465,女,汉族,法学院,法学类,法1812,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
63,201821050213,男,汉族,刑事司法学院,公安学类,公安1805,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
64,201829030498,女,满族,金融学院,金融学类,金融1805,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-08
65,201721040533,女,汉族,法学院,法学,民商1702,院级,团学先进个人,优秀新闻工作者,法学院,2018-11-20
66,1608030235,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1602,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
67,201721070192,女,汉族,财政税务学院,税收学,税务1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
68,201821080274,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
69,201821020270,男,汉族,经济学院,经济学（实验）,经济实验1801,校级,团学先进个人,军训优秀学员,中南财经政法大学人武部,2018-10-16
70,1603150121,女,汉族,金融学院,保险学（精算）,保精1601,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-02-05
71,201821060269,女,汉族,金融学院,金融学类,金融1801,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
72,201821120052,男,汉族,金融学院,金融学（中美）,国金1801,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
73,201821080336,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1804,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
74,201822040862,女,汉族,法学院,法学类,法1813,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-06-16
75,1607010223,女,汉族,财政税务学院,财政学,财政1602,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-15
76,201721050055,女,汉族,刑事司法学院,法学（司）,司法1702,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-01
77,201721120113,女,汉族,新闻与文化传播学院,新闻学,新闻1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
78,201821090133,男,汉族,统计与数学学院,经济统计学,经统1801,院级,团学先进个人,青年马克思主义者培养工程-优秀学员,共青团中央,2019-05-12
79,201821100028,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1801,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-25
80,201821040048,女,壮族,法学院,法学类,法1805,校级,团学先进个人,优秀大学生艺术团团员,共青团中南财经政法大学委员会,2019-05-04
81,201721060222,女,汉族,工商管理学院,国际经济与贸易,国贸1702,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
82,1603150117,女,汉族,金融学院,保险学（精算）,保精1601,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-04
83,201821040057,男,土家族,法学院,法学类,法1803,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
84,201721030095,男,汉族,金融学院,工程管理,工程1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
85,201721030066,女,汉族,金融学院,投资学,投资1701,校级,团学先进个人,团学骨干培训班,共青团中南财经政法大学委员会,2018-09-21
86,1608010121,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-06-04
87,201721020209,女,汉族,财政税务学院,财政学（中英班）,国财1702,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-02-06
88,201721040566,女,汉族,法学院,法学,法1704,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
89,201721120035,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
90,201721050149,男,汉族,刑事司法学院,治安学,治安1701,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-27
91,201721100072,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
92,201721130090,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
93,201721060631,男,汉族,工商管理学院,管理科学,管科1701,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-04
94,1601040122,女,土家族,哲学院,社会学,社会1601,院级,团学先进个人,哲学院-年度表彰-优秀个人,哲学院,2018-12-01
95,201721120095,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1702,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-09
96,201821050149,女,汉族,刑事司法学院,公安学类,公安1801,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-17
97,201721060285,男,苗族,工商管理学院,工商管理,工商1701,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-25
98,1606050215,女,汉族,工商管理学院,市场营销,市营1602,校级,团学先进个人,心理健康节优秀个人,中南财经政法大学学生工作部,2019-06-07
99,201721040390,男,汉族,法学院,法学（卓越）,卓越1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
100,201721040566,女,汉族,法学院,法学,法1704,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-05
101,201821030105,女,汉族,金融学院,金融学类,金融1804,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
102,201821140018,女,汉族,法学院,法学类,法1804,校级,团学先进个人,优秀学生干事,共青团中南财经政法大学委员会,2019-05-04
103,201721020165,男,汉族,经济学院,经济学,经济1702,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
104,201821050171,男,汉族,刑事司法学院,公安学类,公安1802,院级,优秀学生组织主要负责人,刑事司法学院_学年综合表彰之优秀团队奖,共青团刑事司法学院委员会,2018-12-10
105,201821080097,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-03-31
106,201821120067,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1802,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
107,201821040560,女,汉族,法学院,法学类,法1801,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-19
108,201821100126,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1805,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
109,201821070153,男,汉族,财政税务学院,财政学类,财政1805,校级,团学先进个人,心理健康节优秀个人（优秀心理委员）,中南财经政法大学学生工作部,2019-05-16
110,201821030399,女,汉族,金融学院,金融学类,金融1803,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-20
111,201721050009,男,汉族,刑事司法学院,侦查学,侦查1701,院级,优秀学生组织主要负责人,刑事司法学院_综合表彰之优秀团队,共青团刑事司法学院委员会,2018-12-20
112,1606070105,男,汉族,工商管理学院,旅游管理,旅游1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-02-14
113,201721130033,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-30
114,1623020432,女,汉族,中韩新媒体学院,电影学（影像）,影像1604,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
115,201721120132,女,汉族,新闻与文化传播学院,新闻学,新闻1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
116,1607030106,女,汉族,财政税务学院,税收学,税务1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-25
117,201821040636,男,汉族,法学院,法学类,法1803,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
118,201721040071,女,汉族,法学院,法学,法1708,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
119,201821040805,女,汉族,法学院,法学类,法1816,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-25
120,201721060189,女,汉族,工商管理学院,物流管理,物管1701,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
121,201721070046,女,汉族,财政税务学院,财政学,财政1702,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-10
122,201721100188,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
123,201721030154,女,汉族,金融学院,工程管理,工程1701,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
124,201721140001,男,汉族,哲学院,国际政治,国政1701,院级,团学先进个人,哲学院-年度表彰-优秀个人,哲学院,2018-12-05
125,201721100172,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-08
126,1606040254,女,汉族,工商管理学院,工商管理,工商1602,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-25
127,1623020236,女,汉族,中韩新媒体学院,电影学（影像）,影像1602,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
128,201721110047,女,汉族,外国语学院,英语,英语1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
129,201821030048,女,汉族,金融学院,金融学类,金融1805,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-20
130,1603010110,女,汉族,金融学院,金融学,金融1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
131,201821040423,女,汉族,法学院,法学类,法1804,校级,团学先进个人,最美团支书,共青团中南财经政法大学委员会,2019-05-04
132,201821040100,男,汉族,法学院,法学类,法1806,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-09-07
133,201721040297,女,汉族,法学院,法学,法1707,院级,团学先进个人,法学院-年度综合表彰-个人荣誉称号,法学院,2018-11-28
134,201821050194,男,汉族,刑事司法学院,公安学类,公安1802,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
135,1604000906,女,汉族,法学院,法学,法1609,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2019-05-20
136,201721120159,男,汉族,新闻与文化传播学院,数字媒体艺术,媒体1702,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2018-12-01
137,201721130171,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,院级,优秀学生组织主要负责人,”工程之星“”工程十大学子“（团体）,信息与安全工程学院,2019-04-18
138,1605050142,女,汉族,刑事司法学院,侦查学,职侦1601,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2019-05-30
139,201821030350,女,汉族,金融学院,金融学类,金融1801,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-20
140,201821040364,女,汉族,法学院,法学类,法1813,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-30
141,201821040589,女,汉族,法学院,法学类,法1816,院级,团学先进个人,优秀新闻工作者,法学院,2019-06-30
142,201821050214,男,汉族,刑事司法学院,公安学类,公安1802,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
143,1609040121,女,汉族,信息与安全工程学院,电子商务（技术）,商务1602,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-07
144,201721030362,女,汉族,金融学院,保险学,保险1701,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-20
145,1604070133,女,汉族,法学院,法学,外法1601,院级,优秀学生组织主要负责人,优秀学生党支部,各学院,2019-06-30
146,201821140120,女,侗族,财政税务学院,财政学（中英班）,国财1801,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-02
147,1612040124,女,汉族,新闻与文化传播学院,新闻学,新闻1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
148,201721070048,女,汉族,财政税务学院,税收学,税务1703,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
149,201821110219,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1801,校级,团学先进个人,心理健康节优秀个人（优秀心理委员）,中南财经政法大学学生工作部,2019-06-04
150,201821060167,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1801,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-30
151,201721050059,女,汉族,刑事司法学院,侦查学,侦查1701,院级,优秀学生组织主要负责人,刑事司法学院_学年综合表彰之优秀团队奖,共青团刑事司法学院委员会,2019-12-19
152,201721100105,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共事业管理,公管1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
153,1612030113,女,汉族,新闻与文化传播学院,汉语言文学,中文1601,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
154,201721020134,女,汉族,经济学院,国际商务,国商1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
155,201721040297,女,汉族,法学院,法学,法1707,院级,团学先进个人,法学院-年度综合表彰-个人荣誉称号,法学院,2018-11-27
156,201729080366,男,侗族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
157,201721120063,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
158,1606040228,女,汉族,工商管理学院,工商管理,工商1602,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
159,201721130231,女,汉族,信息与安全工程学院,安全工程,安全1701,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-01
160,201721040246,女,汉族,法学院,法学,法制1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
161,201821080288,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1801,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-26
162,201721040341,女,壮族,法学院,法学,法制1701,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-08
163,201721110092,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-15
164,1606050114,男,汉族,工商管理学院,市场营销,市营1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-06-07
165,201721090082,男,汉族,统计与数学学院,应用统计学,应统1701,院级,团学先进个人,统计与数学学院-综合表彰之“十佳新星”,统计与数学学院,2019-05-04
166,1605020136,男,汉族,刑事司法学院,治安学,治安1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2017-05-08
167,201821050021,男,汉族,刑事司法学院,公安学类,公安1803,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-15
168,1604060139,男,汉族,法学院,法学（卓越）,卓越1601,院级,团学先进个人,法学院-年度综合表彰-个人荣誉称号,法学院,2018-12-01
169,1604060123,女,汉族,法学院,法学,民商1601,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-02
170,201821020106,女,汉族,金融学院,金融学（中美）,国金1801,校级,团学先进个人,军训优秀学员,中南财经政法大学学生工作部,2018-09-20
171,201721100022,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1701,院级,团学先进个人,公共管理学院年终表彰之“十佳新星”,公共管理学院,2018-12-01
172,201721030463,女,汉族,金融学院,房地产开发与管理,房产1701,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-04
173,201721090242,男,汉族,统计与数学学院,金融数学,金数1701,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-04
174,201721140004,女,汉族,法学院,法学,民商1701,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
175,201821050066,男,汉族,刑事司法学院,公安学类,公安1802,校级,团学先进个人,军训优秀学员,中南财经政法大学学生工作部,2018-09-20
176,201721120079,男,汉族,新闻与文化传播学院,数字媒体艺术,媒体1702,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2018-05-04
177,1608030427,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1604,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-04
178,201721110293,女,汉族,外国语学院,日语,日语1701,院级,团学先进个人,外国语学院-综合表彰-个人荣誉称号,共青团中南财经政法大学外国语学院分团委,2019-05-04
179,1609020135,女,汉族,统计与数学学院,统计学,统计1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
180,1608030234,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-07
181,1606100114,男,汉族,工商管理学院,物流管理,物管1601,校级,团学先进个人,模范团干,共青团中南财经政法大学委员会,2019-05-04
182,1611080205,女,汉族,外国语学院,商务英语,商英1602,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
183,1604000808,女,汉族,法学院,法学,法1608,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
184,1612040337,女,壮族,新闻与文化传播学院,网络与新媒体,网媒1601,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
185,201721030190,女,壮族,金融学院,投资学,投资1702,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-04
186,201821120001,男,汉族,新闻与文化传播学院,数字媒体艺术,媒体1801,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-08
187,201828040457,女,维吾尔族,法学院,法学类,法1803,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-01
188,201721120174,男,汉族,新闻与文化传播学院,网络与新媒体,网媒1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
189,201721090077,女,汉族,工商管理学院,工商管理（国际班）,工商国际1701,院级,团学先进个人,优秀礼仪队队员,各学院,2019-05-04
190,201721040059,女,汉族,法学院,法学,法制1702,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-01
191,201821060088,女,汉族,工商管理学院,工商管理类,工商1801,校级,团学先进个人,军训优秀学员,中南财经政法大学人武部,2019-09-18
