id,number,gender,nation,academy,profession,class,social_practice_level,award_level,award_name,organization,award_type,award_date
44,201721130067,男,汉族,信息与安全工程学院,电子商务（技术）,商务1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-11
45,201821100141,女,汉族,金融学院,金融学类,金融1805,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-10
46,201821100241,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1803,校级,社会实践先进个人,寒暑假返乡大学生志愿服务行动,共青团中南财经政法大学委员会,个体,2019-09-21
47,201821100256,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-06
48,201821130258,男,汉族,信息与安全工程学院,安全工程,安全1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-10
49,201721100237,男,汉族,金融学院,投资学,投资1702,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-10
50,201721120049,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1701,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-08
51,201721130016,女,汉族,信息与安全工程学院,电子商务（技术）,商务1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-02
52,201821100126,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1805,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-01
53,1606040124,男,土家族,工商管理学院,工商管理,工商1601,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-05-06
54,1607030224,女,土家族,财政税务学院,税收学,税务1602,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-10
55,1610010102,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-12
56,201821070215,女,汉族,财政税务学院,财政学类,财政1805,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2019-06-05
57,1602040112,男,汉族,经济学院,国际商务,国商1601,院级,社会实践团队,社会实践“优秀团队”,各学院分团委,团体,2018-12-24
58,1609030152,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-02
59,1610070125,女,土家族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1601,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-12
60,1602040107,男,汉族,经济学院,国际商务,国商1601,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-30
61,201821040814,男,汉族,法学院,法学类,法1810,院级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-10-21
62,1608030145,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1601,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-07
63,201821030372,男,汉族,金融学院,金融学类,金融1804,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-09
64,1606020104,女,汉族,财政税务学院,财政学（中英班）,国财1601,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-07
65,201721320012,女,汉族,文澜学院,经济管理试验班,经管1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-09-30
66,201821110109,女,满族,外国语学院,日语,日语1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-02
67,1610080106,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,校级,社会实践团队,寒暑假返乡大学生志愿服务行动,共青团中南财经政法大学委员会,团体,2019-03-25
68,1602010412,女,汉族,经济学院,经济学,经济1604,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-03
69,1607010229,女,汉族,财政税务学院,财政学,财政1602,省级,社会实践先进个人,全国大中专学生志愿者暑期文化科技卫生“三下乡”社会实践活动,共青团中央、中央宣传部、国家教育部、全国学联,团体,2018-12-03
70,201721020105,女,汉族,经济学院,经济学,经济1702,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-01
71,201721070058,女,汉族,财政税务学院,财政学,财政1703,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,个体,2019-04-16
72,201821110051,女,汉族,外国语学院,法语,法语1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-01
73,201721060546,女,汉族,法学院,法学,民商1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-02-21
74,1606010249,女,彝族,工商管理学院,国际经济与贸易,国贸1602,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-05
75,201721020258,女,汉族,经济学院,国际商务,国商1701,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-05
76,201821040424,女,汉族,法学院,法学类,法1807,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-04
77,201721020267,女,汉族,经济学院,国际商务,国商1702,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-05
78,201721050062,女,汉族,刑事司法学院,侦查学,侦查1701,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-05-16
79,201721020020,女,汉族,经济学院,经济学,经济1704,院级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-07
80,201821320029,女,汉族,文澜学院,经济管理试验班,经管1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-24
81,201721060635,女,土家族,工商管理学院,工商管理,工商1701,校级,社会实践团队,寒暑假返乡大学生志愿服务行动,共青团中南财经政法大学委员会,团体,2019-03-05
82,201721080208,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-01
83,1602010229,男,汉族,经济学院,经济学,经济1602,院级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-06-04
84,201821040732,女,汉族,法学院,法学类,法1809,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-28
85,201721060545,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1701,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-30
86,1610080115,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-01
87,201821130166,男,汉族,信息与安全工程学院,计算机类,信息1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-30
88,1605030110,男,汉族,刑事司法学院,边防管理,边管1601,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-06
89,201821110299,女,汉族,外国语学院,外国语言文学类,英语1803,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-20
90,201821050091,男,汉族,刑事司法学院,公安学类,公安1805,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-07-31
91,201821130029,男,汉族,信息与安全工程学院,计算机类,信息1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-30
92,201721030318,女,汉族,金融学院,金融工程,金工1701,校级,社会实践先进个人,寒暑假返乡大学生志愿服务行动,共青团中南财经政法大学委员会,团体,2019-03-31
93,201821140069,男,汉族,哲学院,社会学,社会1801,校级,社会实践团队,寒暑假返乡大学生志愿服务行动,共青团中南财经政法大学委员会,个体,2019-09-06
94,201721040528,女,汉族,法学院,法学,外法1702,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-08
95,201721100163,女,汉族,会计学院（会计硕士专业学位教育中心）,国际会计（中澳班）,国会1701,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-03-15
96,201821030161,女,汉族,金融学院,金融学（CFA）,CFA1801,院级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-09
97,201821040275,男,汉族,法学院,法学类,法1806,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-10
98,201721070028,女,汉族,财政税务学院,税收学,税务1702,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-05
99,1607030232,男,汉族,财政税务学院,税收学,税务1602,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-20
100,201721080134,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-05
101,201721060026,女,汉族,工商管理学院,人力资源管理,人力1701,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-05
102,201721060181,女,汉族,工商管理学院,旅游管理,旅游1701,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-01
103,1609040105,女,汉族,信息与安全工程学院,电子商务（技术）,商务1602,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-27
104,201721100236,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-10
105,201821030472,女,汉族,金融学院,金融学类,金融1804,校级,社会实践团队,寒暑假返乡大学生志愿服务行动,共青团中南财经政法大学委员会,团体,2019-03-28
106,1606060103,男,汉族,工商管理学院,人力资源管理,人力1601,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-07
107,201721130124,女,汉族,信息与安全工程学院,安全工程,安全1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-01
108,201821040143,女,汉族,法学院,法学类,法1813,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-08-03
109,201721100022,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-03-01
110,201821130150,男,汉族,信息与安全工程学院,计算机类,信息1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-30
111,201821080148,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-01-29
112,201721130154,女,汉族,信息与安全工程学院,电子商务（技术）,商务1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-08
113,1610010104,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-03-11
114,1603030134,男,汉族,金融学院,工程管理,工程1601,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-07
115,201721030394,女,汉族,金融学院,保险学,保险1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-07-01
116,201821030185,男,汉族,金融学院,金融学类,金融1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-14
117,201721030234,女,汉族,金融学院,保险学,保险1701,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-09
118,201721030308,男,汉族,金融学院,金融学（CFA）,CFA1701,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-23
119,201721030364,女,汉族,金融学院,房地产开发与管理,房产1701,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-06
120,1613030135,女,汉族,财政税务学院,财政学,财政1603,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-08
121,201721130128,女,汉族,信息与安全工程学院,计算机科学与技术,计科1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-21
122,201821040581,女,汉族,法学院,法学类,法1804,校级,社会实践团队,寒暑假返乡大学生志愿服务行动,共青团中南财经政法大学委员会,团体,2019-03-06
123,1610080110,女,土家族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-07
124,201821130049,女,汉族,信息与安全工程学院,计算机类,信息1802,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-15
125,1613020119,男,汉族,信息与安全工程学院,环境工程,环境1601,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-30
126,201721080006,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-31
127,1606060115,女,汉族,工商管理学院,人力资源管理,人力1601,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-01
128,201721060107,男,汉族,工商管理学院,人力资源管理,人力1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-01
129,201721070035,女,汉族,财政税务学院,财政学,财政1702,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-10-07
130,1603010205,女,汉族,金融学院,金融学,金融1602,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-18
131,1613030146,女,黎族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1602,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-31
132,201821110183,女,汉族,外国语学院,外国语言文学类,英语1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-07-17
133,201821070211,女,汉族,财政税务学院,财政学类,财政1805,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-09-05
134,201821130227,男,汉族,信息与安全工程学院,计算机类,信息1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-30
135,201821130108,女,汉族,信息与安全工程学院,计算机类,信息1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-31
136,1609040146,女,汉族,信息与安全工程学院,电子商务（技术）,商务1602,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-03
137,201721060325,女,汉族,工商管理学院,市场营销,市营1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-01-30
138,1604000201,男,汉族,法学院,法学,法1602,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-01
139,201721130056,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-07-10
140,201721080259,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-28
141,201721070008,女,汉族,财政税务学院,财政学,财政1703,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-25
142,1610010136,女,土家族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-10
143,201721120081,男,汉族,新闻与文化传播学院,数字媒体艺术,媒体1701,院级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-09-30
144,201721040104,女,汉族,法学院,法学,法1709,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-05-01
145,201821130153,女,汉族,外国语学院,外国语言文学类,英语1805,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-07-25
146,201721030371,男,汉族,金融学院,保险学（精算）,保精1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-07-01
147,1602040107,男,汉族,经济学院,国际商务,国商1601,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-09-08
148,201721130064,女,汉族,信息与安全工程学院,电子商务（技术）,商务1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-07
149,1623020127,女,汉族,中韩新媒体学院,电影学（影像）,影像1601,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-01
150,201821040249,女,汉族,法学院,法学类,法1802,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-26
151,201821060429,男,汉族,工商管理学院,工商管理类,工商1805,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-02-28
152,201821250218,女,汉族,中韩新媒体学院,电影学（影像）,影像1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-16
153,201821040501,女,汉族,法学院,法学类,法1812,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-02-19
154,201821040158,女,汉族,法学院,法学类,法1809,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-01-30
155,1608020338,女,布依族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1603,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2017-12-06
156,1606070131,男,汉族,工商管理学院,旅游管理,旅游1601,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-08
157,201721030240,女,汉族,金融学院,金融学,金融1701,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-17
158,1604000142,男,汉族,法学院,法学,法1601,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-08
159,1608020306,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1603,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2017-12-01
160,1603050124,男,汉族,金融学院,保险学,保险1601,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-01
161,1606040221,男,汉族,工商管理学院,工商管理,工商1602,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-25
162,201721140170,女,汉族,哲学院,社会学,社会1701,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-01
163,201721130267,男,汉族,信息与安全工程学院,安全工程,安全1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-25
164,201721020213,男,汉族,经济学院,国际商务（中法）,国商1703,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-31
165,1613030129,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1602,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-31
166,201821040606,女,汉族,法学院,法学类,法1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-04
167,1606020155,女,汉族,工商管理学院,贸易经济,贸经1601,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-09-29
168,201821020031,男,汉族,经济学院,经济学,经济1804,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2019-05-04
169,1606020129,女,汉族,工商管理学院,贸易经济,贸经1601,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-03-11
170,201821040061,男,汉族,法学院,法学类,法1808,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-16
171,201721110151,女,汉族,外国语学院,商务英语,商英1704,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-17
172,201721030314,男,汉族,金融学院,金融学,金融1701,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-01
173,1606010249,女,彝族,工商管理学院,国际经济与贸易,国贸1602,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-05
